name,pais,cod,year,list,n_cause,Diseases,sex,,all,total age 0 year,1 -4 year,5-9 year,10-14 year,15-19 year,20-24 year,25-29 year,30-34 year,35-39 year,40-44 year,45-49 year,50-54 year,55-59 year,60-64 year,65-69 year,70-74 year,75-79 year,80-84 year,85 year and above,age,unknown age,absolute-number-of-deaths-from-household-air-,,emition_co2,HFC gases,Nitrous oxide (N₂O),Methane (CH₄),"Death rates from household air pollution (per 100,000) (deaths per 100,000)","Death rates from outdoor air pollution (per 100,000) (deaths per 100,000)",Total population (Gapminder),Energy,Industry,Residential & commercial,Other sources,Land use,Agriculture,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) (micrograms per cubic meter)",Land use,Agriculture
Brazil,BRA,2070,1998,104,30,Tuberculosis,both sexes,both sexes-1998,6,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,31890,,312.03,0,376882,312289.054,0,0,169409713,29412.5517,93.3049,2274.3634,0,16397.1823,220119.4579,15.40530411,,
Brazil,BRA,2070,1999,104,30,Tuberculosis,both sexes,both sexes-1999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,31890,,319.91,0,361634,320173.104,0,0,171936271,32431.2911,94.8782,2317.3924,0,12434.3178,221649.8861,15.40530411,,
Brazil,BRA,2070,2000,104,30,Tuberculosis,both sexes,both sexes-2000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21676,,327.72,4119.1,343027,327983.814,23.7859838021,50.984225441300005,174425387,36886.458,103.7448,2324.616,0,1860.5373,225590.1463,16.16227859,,
Brazil,BRA,2070,2001,104,30,Tuberculosis,both sexes,both sexes-2001,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,,337.16,0,367626,337433.673,0,0,176877135,36188.1935,105.4754,2401.854,0,1890.5891,233435.1263,16.16227859,,
Brazil,BRA,2070,2002,104,30,Tuberculosis,both sexes,both sexes-2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,332,0,388268,332266.87,0,0,179289227,38313.7669,110.1944,2658.831,0,4421.2398,246204.6235,16.16227859,,
Brazil,BRA,2070,2003,104,30,Tuberculosis,both sexes,both sexes-2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,321.36,0,419110,321621.569,0,0,181633074,43409.5683,118.8938,2795.394,0,4999.1506,256914.7566,16.16227859,,
Brazil,BRA,2070,2004,104,30,Tuberculosis,both sexes,both sexes-2004,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,337.55,0,459552,337826.042,0,0,183873377,48704.2067,124.4244,2862.174,0,6940.8578,269568.457,16.16227859,,
Brazil,BRA,2070,2005,104,30,Tuberculosis,both sexes,both sexes-2005,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17131,,347.02,5622.1,492336,347308.904,15.350583351900001,39.3474579543,185986964,49826.6492,122.0633,2919.168,0,14811.426,274023.5315,13.77506387,,
Brazil,BRA,2070,2006,104,30,Tuberculosis,both sexes,both sexes-2006,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16027,,347.38,0,407314,347668.27,13.7866050227,36.9973771208,187958211,49371.3335,128.3791,2977.023,0,6005.056,269253.9759,13.77506387,,
Brazil,BRA,2070,2007,104,30,Tuberculosis,both sexes,both sexes-2007,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,362.92,0,412677,363212.683,0,0,189798070,51066.9854,131.2479,3040.821,0,22386.8752,267177.0909,13.77506387,,
